epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,110.474,0.79073,1.93412,0.99826,1,0.29258,0.995,0.79356,0.74626,3.05374,0.84341,0.000656085,0.000656085,0.000656085
2,221.104,0.78808,1.29163,0.98114,0.99453,1,0.995,0.8969,0.58422,1.39064,0.84521,0.00130966,0.00130966,0.00130966
3,329.094,0.78108,1.10258,0.99005,0.99489,1,0.995,0.83729,0.67926,0.98565,0.88714,0.00195003,0.00195003,0.00195003
4,439.153,0.76129,0.97762,0.99868,0.99478,1,0.995,0.80973,0.68742,0.93401,0.90968,0.0019406,0.0019406,0.0019406
5,555.138,0.68955,0.77795,0.96821,0.99468,1,0.995,0.83957,0.68478,0.7595,0.90703,0.0019208,0.0019208,0.0019208
6,662.287,0.68934,0.6968,0.95782,0.99448,1,0.995,0.87665,0.63379,0.67937,0.88581,0.001901,0.001901,0.001901
7,778.733,0.68443,0.63481,0.96332,0.99007,1,0.995,0.8861,0.56848,0.58872,0.87198,0.0018812,0.0018812,0.0018812
8,898.447,0.64179,0.57457,0.93861,0.99313,1,0.995,0.8521,0.61391,0.46821,0.88638,0.0018614,0.0018614,0.0018614
9,1093.96,0.65168,0.53874,0.96097,1,0.88994,0.97192,0.79317,0.72817,0.94975,0.88042,0.0018416,0.0018416,0.0018416
10,1217.45,0.64296,0.5252,0.9479,0.99389,1,0.995,0.86962,0.59434,0.47556,0.87525,0.0018218,0.0018218,0.0018218
11,1343.18,0.61988,0.49805,0.94754,0.9943,1,0.995,0.89281,0.61638,0.42732,0.87982,0.001802,0.001802,0.001802
12,1461.39,0.58972,0.46748,0.92365,0.99478,1,0.995,0.88643,0.52158,0.39171,0.86697,0.0017822,0.0017822,0.0017822
13,1562.37,0.61555,0.47442,0.93275,0.99424,1,0.995,0.82536,0.67427,0.39085,0.89055,0.0017624,0.0017624,0.0017624
14,1668.99,0.64241,0.46939,0.96022,0.99443,1,0.995,0.91094,0.47787,0.36243,0.84082,0.0017426,0.0017426,0.0017426
15,1807.58,0.54826,0.42117,0.91843,0.99475,1,0.995,0.90798,0.4814,0.32196,0.85541,0.0017228,0.0017228,0.0017228
16,1918.08,0.57824,0.41776,0.93706,0.99474,1,0.995,0.88957,0.52774,0.3769,0.86172,0.001703,0.001703,0.001703
